review,sentiment,Clean_sentiment,Clean_review
"I actually didn't start watching the show until it came on FX. I was bored and had nothing to watch and saw that the show's reruns were premiering so i decided to watch it. I was so upset that I had not watched the show when it first aired on t.v. I loved the show so much!Finally a show for everyone to enjoy. I remember Full House and Family Matters and Step by Step and they were okay shows but just not funny enough. They would make dumb jokes and laugh over things that were just plain stupid, but not That 70s Show. That 70s Show was hilarious, smart and so real. I think it was the best show ever made and I'm very sorry that it ended. Although I love this show, I do think it should have ended on the seventh season when Eric and Kelso leave. The last season was just not right, Eric was the main character and the show should have ended when his character leaves. I still love this show and I hope TV starts making more shows like this one.",positive,positive,actually didnt start watching show came fx bored nothing watch saw shows reruns premiering decided watch upset watched show first aired tv loved show muchfinally show everyone enjoy remember full house family matters step step okay shows funny enough would make dumb jokes laugh things plain stupid show show hilarious smart real think best show ever made im sorry ended although love show think ended seventh season eric kelso leave last season right eric main character show ended character leaves still love show hope tv starts making shows like one
"This film coincides with Mike Allred's comic book mini-series, ""Red Rocket Seven"" and tells the story of an alien who escaped to Earth to wait for ""Astroesque"" which ties into the book of Revelations and the apocylpse. This is only part of a bigger story (if the movie confuses you, read ""RR7"" too). You can easily tell that Allred is used to telling stories with pictures. The direction is very good and the effects aren't bad for a $500 budget. Unfortunately, Mike used many friends to play the roles and probably didn't have the heart to say that they couldn't act. Also, Mike is not showing his writing skills in this movie. His dialouge spoon-feeds the plot to you and doesn't let you enjoy the characters. This was actually disappointing considering his tremendous writing ability shown in his comic books. 4 out of 10.",negative,negative,film coincides mike allreds comic book miniseries red rocket seven tells story alien escaped earth wait astroesque ties book revelations apocylpse part bigger story movie confuses read rr easily tell allred used telling stories pictures direction good effects arent bad budget unfortunately mike used many friends play roles probably didnt heart say couldnt act also mike showing writing skills movie dialouge spoonfeeds plot doesnt let enjoy characters actually disappointing considering tremendous writing ability shown comic books
"Again, we're getting a melange of themes well covered by so many previous films. The good and the bad son story, courtesy East of Eden. The American marine hero story, who doesn't consider himself to be one due to what he knows. And the grieving wife potentially falling in love with another man story.<br /><br />The mere fact of those stories being that ubiquitous isn't so much of a problem though. Because theoretically they could still be better presented and dealt with each time around. No luck this time though, as all three of those threads ultimately fall flat all the same.<br /><br />As the bad son never really gets to talk to his father, so that conflict is never resolved properly. Apart from the father kind of starting to appreciate the bad son thanks to the latter renovating the kitchen of the grieving wife. Now, how satisfying is that.<br /><br />Next, the surprisingly homecoming marine suspecting his wife of unfaithfulness conflict never gets resolved. Because he never really talks to the man under suspicion, namely his own brother. So once more we're handed a loose end here.<br /><br />And finally, the American military heroism hypocrisy theme, where the marine is publicly considered a hero when, due to the dirtiness of war he went through, he shouldn't really be called one as to his own standards, that third theme falls flat just the same. Because the movie ends right when, for the first time, he's just able to talk to his wife about what he went through. Where the real story would actually begin at that very point, namely his process of recovery, how that would look like and how he would finally face the family he'd have some major guilt to admit to. All that, all the really interesting bits are passed over and getting ignored.<br /><br />So while story wise this film is a serious, and I mean serious, disappointment, I'd still give it points for the impressive cast. Although no film should use Maguire for a voice over, because that belongs to Spiderman. Especially a grown up Gyllenhaal seems to fulfill all the expectations he aroused as a young and aspiring actor. So much that I'd in fact love to see him entrusted with a really deep and demanding lead role of proper profile.<br /><br />So while the cast really seems to do what they can, I consider this film totally forgettable otherwise. A shallow and ultimately pretentious, utterly unsatisfying tear squeezer indeed. Message du jour to the writers: we know the wounds already, see the host of Vietnam films. You want to earn some credit, show us a believable healing.",negative,negative,getting melange themes well covered many previous films good bad son story courtesy east eden american marine hero story doesnt consider one due knows grieving wife potentially falling love another man storybr br mere fact stories ubiquitous isnt much problem though theoretically could still better presented dealt time around luck time though three threads ultimately fall flat samebr br bad son never really gets talk father conflict never resolved properly apart father kind starting appreciate bad son thanks latter renovating kitchen grieving wife satisfying thatbr br next surprisingly homecoming marine suspecting wife unfaithfulness conflict never gets resolved never really talks man suspicion namely brother handed loose end herebr br finally american military heroism hypocrisy theme marine publicly considered hero due dirtiness war went shouldnt really called one standards third theme falls flat movie ends right first time hes able talk wife went real story would actually begin point namely process recovery would look like would finally face family hed major guilt admit really interesting bits passed getting ignoredbr br story wise film serious mean serious disappointment id still give points impressive cast although film use maguire voice belongs spiderman especially grown gyllenhaal seems fulfill expectations aroused young aspiring actor much id fact love see entrusted really deep demanding lead role proper profilebr br cast really seems consider film totally forgettable otherwise shallow ultimately pretentious utterly unsatisfying tear squeezer indeed message du jour writers know wounds already see host vietnam films want earn credit show us believable healing
"It is quite rare that a movie comes along that is so useless, that I with IMDb allowed the use of negative scores. In fact, I reflect back upon this movie and I truly cannot think of a movie that had so little going for it. Acting: Your Kidding right. Direction: No. A plot: No. This movie has nothing going for it if you take it as a serious movie, this is often the case with movies of this genre, but most movies of this nature can be watch as if they are a comedy and you can laugh at how pathetic the characters and situations are and almost get your times worth. This movie is so empty, that it cannot even suit that purpose. I have to give this a -1/10, three points lower then any other movie I have ever rated. I truly feel that the staff involved in this movie should pay me for the 83 minutes I spent watching it. I do not really have the words to describe how bad this is. No one should ever watch this for any reason again.",negative,negative,quite rare movie comes along useless imdb allowed use negative scores fact reflect back upon movie truly cannot think movie little going acting kidding right direction plot movie nothing going take serious movie often case movies genre movies nature watch comedy laugh pathetic characters situations almost get times worth movie empty cannot even suit purpose give three points lower movie ever rated truly feel staff involved movie pay minutes spent watching really words describe bad one ever watch reason
"All the bare chested women in the world couldn't keep me from hitting the stop button about a third of the way through this awful rubbish. With the derisory acting, equally terrible script plus the poor CGI FX to match; this movie is an insult to the Werewolf genre. It is supposed to be serious, which in itself would be funny if this film could even make it to the level of being a bad joke.<br /><br />This is one of those movies where the people behind the camera are obviously competent but are too lazy to make something even one quarter decent. Avoid at all costs and watch one of the classic Werewolf movies instead.<br /><br />0 out of 10!",negative,negative,bare chested women world couldnt keep hitting stop button third way awful rubbish derisory acting equally terrible script plus poor cgi fx match movie insult werewolf genre supposed serious would funny film could even make level bad jokebr br one movies people behind camera obviously competent lazy make something even one quarter decent avoid costs watch one classic werewolf movies insteadbr br
"***SPOILERS*** ***SPOILERS*** Well, seeing as I am a major H:LOTS fan, maybe I liked the movie more than normal people would. However, this movie is still excellent. It had tons of surprises, and it gave some more closure to the series. While I was sad that Bayliss turned into a murderer, the overall feeling I felt was satisfied.",positive,positive,spoilers spoilers well seeing major hlots fan maybe liked movie normal people would however movie still excellent tons surprises gave closure series sad bayliss turned murderer overall feeling felt satisfied
"Here is proof of why Mary Pickford was `America's Sweetheart.' In this rather complex drama, Mary plays the young daughter of a squatter that dare to dream of a relationship with the son of one of the `hill-toppers.' The scenes where they steal a kiss and otherwise fall in love are simply delightful. She is even willing to take a bath. That Mary could pull this role off at the age of 30 is simply amazing and somewhat due to her diminutive stature (5').<br /><br />Tess must face numerous physical and emotional challenges. She does so with spunk not seen in many heroines of the time. Tess packs a wallop and is not shy about fighting with anyone. Why she agrees to help the `hill-topper' daughter is beyond me, but she sacrifices her own happiness in order to keep a deep secret. Pickford's close ups are wonderful.<br /><br />Danish-born Jean Hersholt is simply wonderful as the villain. The scene in which he manhandles a small baby is enough to make you throw vegetables (or whatever) at the movie screen. If Forrest Robinson (who plays Daddy Skinner) had worn a beard, he would have been a match for the model used in those World War I recruiting posters of Uncle Sam  Wants You!<br /><br />Although the story is somewhat predictable and slow in the beginning, it is worth the investment in your time to see the piece or pure `Americana.' The film highlights choices available to us all involving making someone else happy and what it is to be a real Christian. Recommended.",positive,positive,proof mary pickford americas sweetheart rather complex drama mary plays young daughter squatter dare dream relationship son one hilltoppers scenes steal kiss otherwise fall love simply delightful even willing take bath mary could pull role age simply amazing somewhat due diminutive stature br br tess must face numerous physical emotional challenges spunk seen many heroines time tess packs wallop shy fighting anyone agrees help hilltopper daughter beyond sacrifices happiness order keep deep secret pickfords close ups wonderfulbr br danishborn jean hersholt simply wonderful villain scene manhandles small baby enough make throw vegetables whatever movie screen forrest robinson plays daddy skinner worn beard would match model used world war recruiting posters uncle sam wants youbr br although story somewhat predictable slow beginning worth investment time see piece pure americana film highlights choices available us involving making someone else happy real christian recommended
"I think it's the sort of film you either love or hate and I'm really not the type to go in for arty movies. My mother rented ""mullhuland DR"" the other night and I nearly ran from the room, ha. But I love this film.<br /><br />We recorded ""The Beat"" one night when we had just let the tape run and got a great film that way by accident. Saved that tape and watched it a lot. I eventually got the VHS to add to my collection. I've watched it many times and at one point copied down the poems. I even tried to preform one scene for my high school drama class. She had said we could do any scene we wanted and just cut out the bad words. She refused to let me do it. If it could upset my drama teacher that much it has to be good :) Honest she never treated me the same after that.<br /><br />I liked the acting it came off very true and honest. It wasn't clean and polished but it was better than that. It was true to life, how anyone would truly behave and display emotions not how Hollywood does. It was great acting especially by the one playing Rex.<br /><br />The story was original. Not only do the characters get drawn into his world but you do too. Not your typical person meets inner city kids and saves them through knowledge film at all. Simply caring and friendship make things a bit better.<br /><br />The only thing is that even in the 80's there was more gun violence and less simple stuff like rock throwing but that little bit of innocence didn't hurt this film.<br /><br />I think it's a must see. you will either love or hate it but either way it makes an impact and that makes a good film that you will remember and talk about later.",positive,positive,think sort film either love hate im really type go arty movies mother rented mullhuland dr night nearly ran room ha love filmbr br recorded beat one night let tape run got great film way accident saved tape watched lot eventually got vhs add collection ive watched many times one point copied poems even tried preform one scene high school drama class said could scene wanted cut bad words refused let could upset drama teacher much good honest never treated thatbr br liked acting came true honest wasnt clean polished better true life anyone would truly behave display emotions hollywood great acting especially one playing rexbr br story original characters get drawn world typical person meets inner city kids saves knowledge film simply caring friendship make things bit betterbr br thing even gun violence less simple stuff like rock throwing little bit innocence didnt hurt filmbr br think must see either love hate either way makes impact makes good film remember talk later
"It's not awful but what a waste... Lousy gags, bad music, poor drawings and animation...<br /><br />Regarding the impressive number of animators and intervallists on this picture (from, hum... a hundred different studios throughout the world? Come on, how can you expect something coherent when doing an animated movie this way!) I wonder if one guy on the credits = one drawing! The lines are rough, the 3d work inadequate (I'm not against it, but not in this film) But the backgrounds are corrects. The storyline is rather dumb, far from the precise cleverness of the BD, and obviously aimed at an international audience. To distribute a movie all over the world doesn't mean to take everyone in the world for a simple-minded guy... A cultural object is far more interesting when challenging, even when it is a foreign movie (being french in this case it's even worse!).<br /><br />Some new stuff is doing well (the Olaf character, sometimes, like with the stone explanation, but it's not great) but the modern references are exasperating (music, SMS -not even a verbal joke, just a stupid bird named short message service: does anyone know imagination?). But, hey, it's a M6 / TPS production with some Celine Dion in it... pathetic.<br /><br />Asterix is underemployed and Obelix talks too much. Goudurix could be great (like in the book) but he is too clearly a ""cool guy"" having a love affair (with an uninteresting made up female character). In fact, only the vikings (wizard excepted) are funny. Too much action, not enough laughs. The best part of the movie are the end credits. Not the music, but the few stills it contains. BD style. Well, definitely, Asterix is not made to move!",negative,negative,awful waste lousy gags bad music poor drawings animationbr br regarding impressive number animators intervallists picture hum hundred different studios throughout world come expect something coherent animated movie way wonder one guy credits one drawing lines rough work inadequate im film backgrounds corrects storyline rather dumb far precise cleverness bd obviously aimed international audience distribute movie world doesnt mean take everyone world simpleminded guy cultural object far interesting challenging even foreign movie french case even worsebr br new stuff well olaf character sometimes like stone explanation great modern references exasperating music sms even verbal joke stupid bird named short message service anyone know imagination hey tps production celine dion patheticbr br asterix underemployed obelix talks much goudurix could great like book clearly cool guy love affair uninteresting made female character fact vikings wizard excepted funny much action enough laughs best part movie end credits music stills contains bd style well definitely asterix made move
"CRY FREEDOM is an excellent primer for those wanting an overview of apartheid's cruelty in just a couple of hours. Famed director Richard Attenborough (GANDHI) is certainly no stranger to the genre, and the collaboration of the real-life Mr. and Mrs. Woods, the main white characters in their book and in this film, lends further authenticity to CRY FREEDOM. The video now in release actually runs a little over 2 and a half hours since 23 minutes of extra footage was inserted to make it a two part TV miniseries after the film's initial theatrical release. While the added length serves to heighten the film's forgivable flaws: uneven character development and blanket stereotyping in particular, another possible flaw (the insistence on the white characters' fate over that of the African ones) may work out as a strength. Viewing CRYING FREEDOM as a politically and historically educational film (as I think it should, over its artistic merits), the story is one which black Africans know only too well, though the younger generation may now need to see it on film for full impact. It is the whites who have always been the film's and the book's target audience, hopefully driving them to change. Now twelve years after the movie's production, CRY FREEDOM is in many ways a more interesting film to watch. Almost ten years after black majority rule has been at least theorically in place, 1987's CRY FREEDOM's ideals remain by and large unrealized. It therefore remains as imperative as ever for white South Africans, particularly the younger ones who have only heard of these actions to see it, and absorb the film's messages. In total contrast to American slavery and the Jewish Holocaust's exposure, South Africans' struggles have been told by a mere two or three stories: CRY FREEDOM, CRY THE BELOVED COUNTRY (OK, Count it twice if you include the remake), and SARAFINA (did I miss one?). All three dramas also clumsily feature American and British actors in both the white and black roles. Not one South African actor has played a major role, white, coloured, Indian or Black!). And yes I did miss another international South African drama, MANDELA and DEKLERK. Though this (also highly recommended) biopic was released after black majority rule was instituted, MANDELA was played by a Black American (Sidney Poitier, who also starred in the original S.A.-themed CRY THE BELOVED COUNTRY), while the Afrikaner DeKlerk was played by a (bald) very British Michael Caine, a good performance if you can dismiss that the very essence of Afrikanerdom is vehement anti-British feelings. Until local SABC TV and African films start dealing with their own legacy, CRY FREEDOM is about as authentic as you'll get. As villified as the whites (particularly the Afrikaners) are portrayed in the film, any observant (non-casual) visitor to South Africa even now in 1999, not to mention 1977 when CRY FREEDOM takes place, will generally find white's attitudes towards blacks restrained, even understated. Looking at CRY FREEDOM in hindsight, it is amazing that reconciliation can take place at all, and it is. But CRY FREEDOM at time shows not much has really changed in many people's minds yet, and that the Black Africans' goal to FREEDOM and reconciliation is still ongoing. This is why if you're a novice to the situation, CRY FREEDOM, is your best introduction.",positive,positive,cry freedom excellent primer wanting overview apartheids cruelty couple hours famed director richard attenborough gandhi certainly stranger genre collaboration reallife mr mrs woods main white characters book film lends authenticity cry freedom video release actually runs little half hours since minutes extra footage inserted make two part tv miniseries films initial theatrical release added length serves heighten films forgivable flaws uneven character development blanket stereotyping particular another possible flaw insistence white characters fate african ones may work strength viewing crying freedom politically historically educational film think artistic merits story one black africans know well though younger generation may need see film full impact whites always films books target audience hopefully driving change twelve years movies production cry freedom many ways interesting film watch almost ten years black majority rule least theorically place cry freedoms ideals remain large unrealized therefore remains imperative ever white south africans particularly younger ones heard actions see absorb films messages total contrast american slavery jewish holocausts exposure south africans struggles told mere two three stories cry freedom cry beloved country ok count twice include remake sarafina miss one three dramas also clumsily feature american british actors white black roles one south african actor played major role white coloured indian black yes miss another international south african drama mandela deklerk though also highly recommended biopic released black majority rule instituted mandela played black american sidney poitier also starred original sathemed cry beloved country afrikaner deklerk played bald british michael caine good performance dismiss essence afrikanerdom vehement antibritish feelings local sabc tv african films start dealing legacy cry freedom authentic youll get villified whites particularly afrikaners portrayed film observant noncasual visitor south africa even mention cry freedom takes place generally find whites attitudes towards blacks restrained even understated looking cry freedom hindsight amazing reconciliation take place cry freedom time shows much really changed many peoples minds yet black africans goal freedom reconciliation still ongoing youre novice situation cry freedom best introduction
"I did not have too much interest in watching The Flock.Andrew Lau co-directed the masterpiece trilogy of Infernal Affairs but he had been fired from The Flock and he had been replaced by an emergency director called Niels Mueller.I had the feeling that Lau had made a good film but it had not satisfied the study,so they fired him and hired another director.This usually does not work well (let's remember The Invasion).But The Flock resulted to be better than what I expected.It's not a great film but it's an interesting and entertaining thriller.The character development is very well done and I could know the characters very well.Also,the relationship between the two main characters is natural and credible.Richard Gere and Claire Danes bring competent performances.Now,let's go to the negative points.One element which really bothered me (there was a moment in which it irritated me) was the excess of edition tricks to give the movie more ""attitude"" and style.That tricks feel out of place and their presence is arbitrary.Plus,I think the film should have been more ambitious.In spite of that,I recommend The Flock as a good thriller.It's not memorable at all,but it's entertaining.",positive,positive,much interest watching flockandrew lau codirected masterpiece trilogy infernal affairs fired flock replaced emergency director called niels muelleri feeling lau made good film satisfied studyso fired hired another directorthis usually work well lets remember invasionbut flock resulted better expectedits great film interesting entertaining thrillerthe character development well done could know characters wellalsothe relationship two main characters natural crediblerichard gere claire danes bring competent performancesnowlets go negative pointsone element really bothered moment irritated excess edition tricks give movie attitude stylethat tricks feel place presence arbitraryplusi think film ambitiousin spite thati recommend flock good thrillerits memorable allbut entertaining
"I have this movie on a collection of inexpensive B-movies. It's not restored, in fact, the audio was difficult to discern for the first few minutes.<br /><br />At first, it seemed like a typical haunted house film, and feels very much like the forerunner of Clue, Murder by Death, House on Haunted Hill, etc.<br /><br />About a half hour into the film, the storyline takes a really interesting twist--and it goes from being a cliché melodrama to something entirely different, and far more entertaining than I had initially thought.<br /><br />Check it out, it's a great deal of fun, even if the long clips and wider shots (and near lack of music score) make it feel a bit creaky by today's standards.",positive,positive,movie collection inexpensive bmovies restored fact audio difficult discern first minutesbr br first seemed like typical haunted house film feels much like forerunner clue murder death house haunted hill etcbr br half hour film storyline takes really interesting twistand goes clich melodrama something entirely different far entertaining initially thoughtbr br check great deal fun even long clips wider shots near lack music score make feel bit creaky todays standards
"'Heaven's Gate' is not a masterpiece, which apparently was what it needed to be upon first release to justify its great cost, and, more importantly, the continued uneasy reliance of Hollywood on the Auteur model of film-making. Yet 'Heaven's Gate', seen today at last on DVD in a cut of 229 minutes, is a superb film. It is a touch lethargic in pace. But at least it is paced. Quite apart from the incompetence of construction that marks many films today, there have been many films which, deliberate in form, have been severely damaged by being hacked down with no care for rhythm so the films become shapeless and confusing. Beyond this, the criticisms leveled at the film have become in retrospect quite lame. If the good guys and bad guys are too obviously pronounced for a serious film, and yes Sam Waterston's mustachioed, fur-clad villain is comic-opera (and not in the multi-leveled manner of Bill The Butcher from 'Gangs of New York'), and yes, the townsfolk do seem a touch 'Fiddler On The Roof' on occasions, then a few dozen serious films made since then, including 'Titanic' and the graceless 'Cold Mountain' (which bears certain similarities and is a notable failure in convincing qualities compared to this film) can be castigated for exactly the same reason. <br /><br />Also despite accusations, the film has a plot, quite a well-essayed plot at that. It simply does not bow to standard-form 'epic' quality, by providing Titan heroes, rafts of sub-plots and confusion. It experiments with telling in a manner more like much smaller, modest films, by carefully-caught moments of character interaction, and well-textured pageant-like explosions of communal action, as with the opening at Harvard and, most specially, the wonderful scene where the Johnson County folk, following the lead of a brilliantly physical fiddler, make celebration on roller-skates.<br /><br />'The Deer Hunter' was a critical and commercial success but abandoned the first half's inspired, mosaic-like accumulation of detail, and I think in a manner similar to criticism of Robert Penn Warren's novel 'All The King's Men' and its dictionary of Jacobean stunts, if Cimino had not had such a strong grasp of the conventions of Hollywood epics, he might have made a special rare work of art based in honest visualisation of people within their milieu. In contrast, 'Heaven's Gate' succeeds in screwing its narrative momentum and tension upwards in a slowly expanding arc, until the finale explodes, whilst not abandoning the mosaic approach.<br /><br />The central romantic triangle, for instance, resists standard inflections; a decent, intelligent, but psychically defeated man, James Averill (Kris Kristofferson) competes with a hot-shot but identity-challenged young gunman Nate Champion (Christopher Walken) for the hand of a young Madame, Ella Watson (Isabelle Huppert); there is no self-conscious bed-hopping, no slaps in the face, recriminations, or typical sad-sack moments, but more a sad and distanced decision by Ella to choose the younger man whom she loves less because he is ready to make the commitment. Ella emerges as the film's true hero (Huppert's performance, though initially awkward, is really quite excellent, balancing a dewy emotionalism with a hard-hammered spirit), attempting first to rescue Nate and then mustering the resistance party of immigrants into an enterprising defence. Subsequently, Averill is stung into action as friends die. Indeed, in the process of overcoming so many traps of cliché and style, 'Heaven's Gate' successfully and willfully throws off the defeated outsider-heroes grace note of so many '70s Westerns and portrays an eventual, vigorous, cheer-the-heroes rallying to a compromised but still relished victory. <br /><br />The social conflict of so many '70s Westerns at last hardens into a fully-fledged war; where capital attempts a crushing final victory over the miscreants who stand in their way, suddenly they find a massed and more-powerful people's army, led by the man who played the thoroughly-destroyed Billy the Kid a decade before. This is what led the film to be described as the first Marxist Western, but really it simply deflowers a theme of the genre extant well before the '60s. Such various and classic old-school works as William Wyler's 'The Westerner', and even 'Shane', tell awfully similar stories. It is simply here that the romantic myth of the gunslinger has been replaced by the romantic myth of the people's revolt. In a spectacular, exiting, but realistic and thus chaotic finale, the marauding Cattlemen's encampment is attacked, ringed by dust clouds punctuated by fallen horses, writhing bodies, and gunfire. Averill puts his classical education to work finally by stealing a Roman trick and bringing the Cattlemen to the brink of annihilation before they are rescued by the Cavalry (another distinctly seditious touch, but surely not so offensive after 'Little Big Man's unrelenting depiction of Native American massacres). Really, it's hard to think of a more heroically American vision of grassroots resistance. The film's only real dead spot stands as an unnecessary coda indicating Averill's eventual relapse, a rather potted piece of tragedy. <br /><br />Despite then certain failings and a slow mid-section, 'Heaven's Gate' is a supreme piece of work, a genuine attempt to create a contemporary Western and a new kind of epic. If one has to still join the chorus that reckons Cimino was absurd in his behaviour on set and expenditure, it is regretfully. When, today, flops like 'The Adventures of Pluto Nash' and 'K-19 - The Widowmaker' see nearly a hundred million dollars sink down the drain, and yet a tag of infamy still hangs on this film, one ponders what exactly its grim death signified. The attempt at original style, the bawdy sexuality, the very hard-won sense of detail, the breathtaking rigor of the film-making and what is being filmed, all throw into contrast what is sorely lacking in so much contemporary Hollywood product.",positive,positive,heavens gate masterpiece apparently needed upon first release justify great cost importantly continued uneasy reliance hollywood auteur model filmmaking yet heavens gate seen today last dvd cut minutes superb film touch lethargic pace least paced quite apart incompetence construction marks many films today many films deliberate form severely damaged hacked care rhythm films become shapeless confusing beyond criticisms leveled film become retrospect quite lame good guys bad guys obviously pronounced serious film yes sam waterstons mustachioed furclad villain comicopera multileveled manner bill butcher gangs new york yes townsfolk seem touch fiddler roof occasions dozen serious films made since including titanic graceless cold mountain bears certain similarities notable failure convincing qualities compared film castigated exactly reason br br also despite accusations film plot quite wellessayed plot simply bow standardform epic quality providing titan heroes rafts subplots confusion experiments telling manner like much smaller modest films carefullycaught moments character interaction welltextured pageantlike explosions communal action opening harvard specially wonderful scene johnson county folk following lead brilliantly physical fiddler make celebration rollerskatesbr br deer hunter critical commercial success abandoned first halfs inspired mosaiclike accumulation detail think manner similar criticism robert penn warrens novel kings men dictionary jacobean stunts cimino strong grasp conventions hollywood epics might made special rare work art based honest visualisation people within milieu contrast heavens gate succeeds screwing narrative momentum tension upwards slowly expanding arc finale explodes whilst abandoning mosaic approachbr br central romantic triangle instance resists standard inflections decent intelligent psychically defeated man james averill kris kristofferson competes hotshot identitychallenged young gunman nate champion christopher walken hand young madame ella watson isabelle huppert selfconscious bedhopping slaps face recriminations typical sadsack moments sad distanced decision ella choose younger man loves less ready make commitment ella emerges films true hero hupperts performance though initially awkward really quite excellent balancing dewy emotionalism hardhammered spirit attempting first rescue nate mustering resistance party immigrants enterprising defence subsequently averill stung action friends die indeed process overcoming many traps clich style heavens gate successfully willfully throws defeated outsiderheroes grace note many westerns portrays eventual vigorous cheertheheroes rallying compromised still relished victory br br social conflict many westerns last hardens fullyfledged war capital attempts crushing final victory miscreants stand way suddenly find massed morepowerful peoples army led man played thoroughlydestroyed billy kid decade led film described first marxist western really simply deflowers theme genre extant well various classic oldschool works william wylers westerner even shane tell awfully similar stories simply romantic myth gunslinger replaced romantic myth peoples revolt spectacular exiting realistic thus chaotic finale marauding cattlemens encampment attacked ringed dust clouds punctuated fallen horses writhing bodies gunfire averill puts classical education work finally stealing roman trick bringing cattlemen brink annihilation rescued cavalry another distinctly seditious touch surely offensive little big mans unrelenting depiction native american massacres really hard think heroically american vision grassroots resistance films real dead spot stands unnecessary coda indicating averills eventual relapse rather potted piece tragedy br br despite certain failings slow midsection heavens gate supreme piece work genuine attempt create contemporary western new kind epic one still join chorus reckons cimino absurd behaviour set expenditure regretfully today flops like adventures pluto nash k widowmaker see nearly hundred million dollars sink drain yet tag infamy still hangs film one ponders exactly grim death signified attempt original style bawdy sexuality hardwon sense detail breathtaking rigor filmmaking filmed throw contrast sorely lacking much contemporary hollywood product
"Having read the books and seen the 1982 Anthony Andrews/Jane<br /><br />Seymour version, I have to say that this is not good at all.<br /><br />According to the books, Percy is supposed to be a seemingly<br /><br />foppish aristocrat when he's being Percy, and witty and clever<br /><br />when he's being the Pimpernel, but here he just looks bored as<br /><br />Percy and mean as the Pimpernel. Marguerite is supposed to be<br /><br />the most beautiful woman in Europe, not a tired and frumpy-looking matron (she looks middle-aged, probably due to<br /><br />bad make-up). Richard E. Grant has done much better things, and<br /><br />Elizabeth McGovern's acting is uninspired and flat. The wit and<br /><br />dash of the books and the Andrews/Seymour film is here replaced<br /><br />by brawn and flashy editing that just don't make the cut. <br /><br /> I might add that to a person who hasn't seen any previous version<br /><br />or read the book, it would probably look ok.",negative,negative,read books seen anthony andrewsjanebr br seymour version say good allbr br according books percy supposed seeminglybr br foppish aristocrat hes percy witty cleverbr br hes pimpernel looks bored asbr br percy mean pimpernel marguerite supposed bebr br beautiful woman europe tired frumpylooking matron looks middleaged probably due tobr br bad makeup richard e grant done much better things andbr br elizabeth mcgoverns acting uninspired flat wit andbr br dash books andrewsseymour film replacedbr br brawn flashy editing dont make cut br br might add person hasnt seen previous versionbr br read book would probably look ok
"""Fool for Love"" is one of the several now forgotten films Robert Altman directed throughout the 1980s. This one, a screen adaptation of a Sam Shepard play that features Shepard in the lead role, just simply isn't very good. Altman made many not-very-good films over the course of his fascinating career, and many times the fault was his. But here I think the fault lies with Shepard for writing such a flimsy play. Altman's direction is assured, the performances are o.k. given what the actors have to work with, but this inconsequential screenplay goes nowhere, and takes its time getting there.<br /><br />Shepard is Eddie, a stuntman who has a love/hate relationship with May (Kim Basinger). The two fight endlessly over the course of an evening spent in some dusty motel in the middle of nowhere, while a mysterious man (Harry Dean Stanton) who may be either a figurative or literal father to both Eddie and May quietly observes. Randy Quaid rounds out the four-person cast as a gentleman caller.<br /><br />The only dramatic hook in the entire plot is the suggestion that Eddie's and May's relationship is incestuous. However, this hook feels more like a gimmick than anything. The screenplay doesn't explore their relationship in any detail, and it doesn't use their relationship to explore any more universal themes. Shepard and Basigner create eccentric, mannered characters who grow irritating within the first five minutes; Stanton and Quaid have little to do but provide reaction shots. <br /><br />The last half hour or so of the film is especially bad, when Eddie's and May's back stories begin to play out in flashback over monotone, somnolent voice over.<br /><br />Chalk this up to another of Altman's experiments gone awry.<br /><br />Grade: C-",negative,negative,fool love one several forgotten films robert altman directed throughout one screen adaptation sam shepard play features shepard lead role simply isnt good altman made many notverygood films course fascinating career many times fault think fault lies shepard writing flimsy play altmans direction assured performances ok given actors work inconsequential screenplay goes nowhere takes time getting therebr br shepard eddie stuntman lovehate relationship may kim basinger two fight endlessly course evening spent dusty motel middle nowhere mysterious man harry dean stanton may either figurative literal father eddie may quietly observes randy quaid rounds fourperson cast gentleman callerbr br dramatic hook entire plot suggestion eddies mays relationship incestuous however hook feels like gimmick anything screenplay doesnt explore relationship detail doesnt use relationship explore universal themes shepard basigner create eccentric mannered characters grow irritating within first five minutes stanton quaid little provide reaction shots br br last half hour film especially bad eddies mays back stories begin play flashback monotone somnolent voice overbr br chalk another altmans experiments gone awrybr br grade c
"A very sensitive topic--15 y/o girl abandoned by mother as a baby and who goes to visit her, continues to be ignored, is raped by her mom's boyfriend, becomes pregnant. There was not enough depth displayed of this situation. Too much of time is taken up on the chase with the truckers transporting the baby. (Interesting, this baby with asthma--you never see him cry-- except once--, be fed, have is diaper changed during the whole truck transport ordeal.) I would have liked to have seen more of the interrelationships, more focus on the fact that this girl was a minor--this should have stood up in court immediately.<br /><br />And this was a true story! It deserved a better telling than that!!<br /><br />If it weren't for the subject matter, I would have given this closer to a 0 rating. I rented this from the library. Only later I found out it was a made for TV movie. <br /><br />oh well",negative,negative,sensitive topic yo girl abandoned mother baby goes visit continues ignored raped moms boyfriend becomes pregnant enough depth displayed situation much time taken chase truckers transporting baby interesting baby asthmayou never see cry except fed diaper changed whole truck transport ordeal would liked seen interrelationships focus fact girl minorthis stood court immediatelybr br true story deserved better telling thatbr br werent subject matter would given closer rating rented library later found made tv movie br br oh well
